DIA;TEMP_MAX;TEMP_MIN;TEM_MED;TEMP_MED PTO_ORV;TEMP_MED BUL_MOL;DEG_DAYS_BASE_18,3°_AQC;DEG_DAYS_BASE_18,3°_RES;PRECIP;PRES_MED_EST;PRES_MED_MAR;;;;;;;;
2020-06-08;27,8;26,4;27,3;23,9;24,6;0;0,9;0;1009,5;1010,2;5,2;266;4,8;22,5;270;12,9;270;8
2020-06-09;30;27;28,4;24,4;25,2;0;5,196;0;1010,2;1012,6;6,2;91;6,4;24,1;68;17,7;68;9
2020-06-10;30,7;24,7;27,4;24,2;25;0;8,969;0;1010,5;1012,9;3,2;78;4,8;27,4;112;19,3;68;10
2020-06-11;31,1;24,9;27,6;24,1;24,9;0;9,263;0,2;1010,7;1013,1;6;61;6,4;29;68;17,7;68;11
2020-06-12;31,5;24,7;27;24,3;24,9;0;8,713;7,8;1009,9;1012,3;2,6;92;3,2;40,2;112;20,9;112;12
2020-06-13;31,7;24,6;26,7;24,6;25,1;0;8,376;14,2;1010,4;1012,8;1,7;115;1,6;43,5;68;25,7;68;13
2020-06-14;31;24,3;27,4;24,6;25,2;0;9,019;0,2;1010,9;1013,4;1,2;26;3,2;16,1;292;11,3;112;14
2020-06-15;29,7;23,5;26,3;24,1;24,6;0;7,954;16,2;1011,3;1013,7;1,1;338;1,6;29;112;11,3;112;15
2020-06-16;30,3;23,3;26,3;24,2;24,7;0;7,941;7,4;1010,8;1013,3;2,1;32;3,2;29;135;9,7;22;16
2020-06-17;30,7;23,6;26,3;24;24,5;0;7,919;35,4;1010,8;1013,2;1,6;62;3,2;27,4;135;14,5;135;17
2020-06-18;30,1;24,9;27;24,8;25,3;0;8,701;5;1010,6;1013;3,5;69;3,2;30,6;90;14,5;90;18
2020-06-19;31,1;25,3;28;24,9;25,6;0;9,66;2,4;1011,1;1013,5;6,4;79;6,4;27,4;45;12,9;90;19
2020-06-20;31,5;25,1;27,8;24,7;25,3;0;9,428;5;1010,9;1013,3;4,9;108;4,8;33,8;112;16,1;112;20
2020-06-21;31,5;24,3;27,1;24,6;25,1;0;8,718;7;1010,9;1013,3;3,8;93;4,8;40,2;90;19,3;90;21
2020-06-22;31,7;24,5;27,5;24,5;25,2;0;9,153;2,2;1010;1012,4;1,1;68;3,2;27,4;90;14,5;112;22
2020-06-23;30,8;24,6;26,7;24,8;25,2;0;8,392;12,2;1008,3;1010,7;0,4;247;1,6;27,4;112;14,5;135;23
2020-06-24;30,1;24,1;26,7;24,5;25;0;8,349;3,6;1008,8;1011,2;2,1;75;4,8;32,2;112;16,1;112;24
2020-06-25;31,6;25,4;28,5;24,8;25,6;0;9,769;0;1010,2;1012,6;6,2;82;6,4;24,1;112;12,9;90;25
2020-06-26;31,3;23,4;26,5;24,3;24,8;0;8,138;19,2;1009,7;1012,1;1,6;56;3,2;37;112;19,3;135;26
2020-06-27;30,8;24,2;27,2;24,5;25,1;0;8,883;1,2;1008,6;1011;3,4;72;4,8;24,1;45;12,9;90;27
2020-06-28;31,6;25;27,9;24,8;25,5;0;9,597;1;1008,7;1011,1;3,2;95;3,2;25,7;90;9,7;112;28
2020-06-29;31,5;24,3;27,4;24,5;25,1;0;9,073;4,4;1009,7;1012,1;3,5;74;4,8;27,4;158;14,5;90;29
2020-06-30;29,8;24,4;26,9;24,3;24,9;0;8,53;13,8;1010,1;1012,5;4;82;4,8;41,8;90;22,5;112;30
2020-07-01;31,8;23,6;27,6;24,2;24,9;0;9,286;0;1009,5;1011,9;2,5;63;3,2;17,7;45;9,7;45;1
2020-07-02;30,9;24,4;27,7;24,5;25,2;0;9,388;44,6;1009,2;1011,6;3,4;64;4,8;30,6;292;12,9;292;2
2020-07-03;31,7;24,4;28;24,7;25,4;0;9,664;0;1009;1011,4;3,9;74;4,8;22,5;68;12,9;112;3
2020-07-04;31,8;24,6;27,4;24,4;25,1;0;9,039;6,8;1008,9;1011,3;3,9;97;4,8;30,6;112;17,7;112;4
2020-07-05;31,9;24,2;27;24,5;25,1;0;8,644;1;1009,3;1011,8;2,4;54;3,2;38,6;68;19,3;68;5
2020-07-06;31,2;24,4;27,6;24,7;25,4;0;9,248;1,2;1009,9;1012,3;4,4;57;4,8;29;68;14,5;68;6
2020-07-07;30,7;24;27,2;24,1;24,8;0;8,895;2,2;1009,7;1012,2;3,5;78;4,8;29;135;16,1;112;7
2020-07-08;31,6;23,6;27,7;24,2;24,9;0;9,381;0;1009,5;1011,9;2,4;77;4,8;22,5;112;11,3;90;8
2020-07-09;30,9;24,8;27,9;24,8;25,5;0;9,6;1,6;1010,5;1012,9;3,4;89;3,2;41,8;90;20,9;112;9
2020-07-10;30,6;24,8;27,9;24,6;25,3;0;9,519;0;1010,7;1013,1;5,5;67;6,4;27,4;45;12,9;90;10
2020-07-11;29,5;24;26,7;24,3;24,8;0;8,345;26,6;1010,3;1012,7;2,1;74;3,2;37;90;16,1;112;11
2020-07-12;31,5;23,8;27,8;24,3;25,1;0;9,46;3,6;1010,4;1012,9;3,4;72;3,2;25,7;180;12,9;135;12
2020-07-13;33;24,6;28,7;24,7;25,6;0;10,363;0;1010,9;1013,4;3,4;82;3,2;19,3;45;11,3;90;13
2020-07-14;32,2;24,9;28,2;24,4;25,2;0;9,88;0,2;1011,3;1013,7;1,9;103;3,2;25,7;112;12,9;112;14
2020-07-15;31,7;24,3;27,9;24,3;25,1;0;9,549;0;1010,6;1013,1;5,1;77;6,4;27,4;68;14,5;90;15
2020-07-16;31,6;26,3;28,8;24,3;25,3;0;10,492;0;1011;1013,4;10;85;9,7;27,4;90;16,1;90;16
2020-07-17;32,1;24;28,3;24,3;25,2;0;9,523;0,6;1010,9;1013,3;5,5;91;4,8;43,5;158;25,7;135;17
2020-07-18;32,1;24,3;28,3;24,5;25,3;0;9,972;0,8;1010,1;1012,5;3,7;62;4,8;25,7;90;12,9;45;18
2020-07-19;31,5;24,1;27,2;23,9;24,7;0;8,881;12;1009,9;1012,4;3,5;92;3,2;40,2;112;17,7;135;19
2020-07-20;31,1;23,6;26,7;23,8;24,5;0;8,356;15,4;1009,6;1012;2;115;3,2;48,3;112;29;135;20
