DIA;PRODUÇÃO kWh
2020-03-23;4,09
2020-03-24;5,4
2020-03-25;5
2020-03-26;6,2
2020-03-27;4,2
2020-03-28;5,2
2020-03-29;2,5
2020-03-30;4,59
2020-03-31;2,29
2020-04-01;6
2020-04-02;5,3
2020-04-03;4,4
2020-04-04;5,7
2020-04-05;5,09
2020-04-06;5,3
2020-04-07;2,6
2020-04-08;2,1
2020-04-09;5,09
2020-04-10;3,8
2020-04-11;4,2
2020-04-12;2,8
2020-04-13;2,1
2020-04-14;3
2020-04-15;3,9
2020-04-16;2,1
2020-04-17;3,4
2020-04-18;6,1
2020-04-19;6,1
2020-04-20;5
2020-04-21;5
2020-04-22;5
2020-04-23;4,4
2020-04-24;4,8
2020-04-25;5
2020-04-26;2,1
2020-04-27;4,59
2020-04-28;5
2020-04-29;2,6
2020-04-30;6
2020-05-01;4,2
2020-05-02;5,09
2020-05-03;3,9
2020-05-04;5,3
2020-05-05;3,3
2020-05-06;5,09
2020-05-07;3,2
2020-05-08;5,7
2020-05-09;2,4
2020-05-10;4,59
2020-05-11;4,5
2020-05-12;5,5
2020-05-13;4,7
2020-05-14;2,4
2020-05-15;5,3
2020-05-16;5,4
2020-05-17;3
2020-05-18;4,2
2020-05-19;5,6
2020-05-20;5,09
2020-05-21;2,2
2020-05-22;4,09
2020-05-23;3,8
2020-05-24;5,7
2020-05-25;5,5
2020-05-26;5,3
2020-05-27;5,6
2020-05-28;5,6
2020-05-29;5,7
2020-05-30;3,2
2020-05-31;4,7
2020-06-01;2,5
2020-06-02;4,9
2020-06-03;5,8
2020-06-04;5,7
2020-06-05;5,6
2020-06-06;4,59
2020-06-07;4,3
2020-06-08;3,8
2020-06-09;4,59
2020-06-10;5,09
2020-06-11;5,4
2020-06-12;4,8
2020-06-13;4,3
2020-06-14;4,59
2020-06-15;3,1
2020-06-16;3,5
2020-06-17;5
2020-06-18;4
2020-06-19;5,09
2020-06-20;4,7
2020-06-21;3,2
2020-06-22;4,7
2020-06-23;3,8
2020-06-24;3,9
2020-06-25;3,3
2020-06-26;3,7
2020-06-27;5,2
2020-06-28;4,5
2020-06-29;5,3
2020-06-30;5
2020-07-01;5,7
2020-07-02;5,3
2020-07-03;5,8
2020-07-04;5,3
2020-07-05;5
2020-07-06;4,9
2020-07-07;5,5
2020-07-08;5,3
2020-07-09;4,2
2020-07-10;4,2
2020-07-11;2,7
2020-07-12;7
2020-07-13;7
2020-07-14;5,8
2020-07-15;6,8
2020-07-16;7,1
2020-07-17;5,9
2020-07-18;6,4
2020-07-19;5,4
2020-07-20;4,9
2020-07-21;5,9
2020-07-22;3
2020-07-23;4,8
2020-07-24;509
2020-07-25;4,5
2020-07-26;6,4
2020-07-27;6,6
2020-07-28;6,8
2020-07-29;6,4
2020-07-30;4,2
2020-07-31;5,2
2020-08-01;6,5
2020-08-02;6,3
2020-08-03;6,5
2020-08-04;6,2
2020-08-05;6,3
2020-08-06;6,6
2020-08-07;7
2020-08-08;6,5
2020-08-09;6,6
2020-08-10;6,2
2020-08-11;6,9
2020-08-12;6,7
2020-08-13;6,6
2020-08-14;5,4
2020-08-15;5,2
2020-08-16;5,2
2020-08-17;5,6
2020-08-18;5,6
2020-08-19;4,7
2020-08-20;
2020-08-21;
2020-08-22;5,6
2020-08-23;5
2020-08-24;4,2
2020-08-25;4,4
2020-08-26;4,4
2020-08-27;4,5
2020-08-28;4,09
2020-08-29;4,7
2020-08-30;4
2020-08-31;4,7
2020-09-01;4,7
2020-09-02;4,59
2020-09-03;4,7
2020-09-04;4,59
2020-09-05;4,5
2020-09-06;4,3
2020-09-07;4,59
2020-09-08;4,59
2020-09-09;3,5
2020-09-10;4,7
2020-09-11;4,4
2020-09-12;4,5
2020-09-13;4,7
2020-09-14;4,4
2020-09-15;4,59
2020-09-16;4,59
2020-09-17;4,7
2020-09-18;4,7
2020-09-19;4,7
2020-09-20;4,59
2020-09-21;4,59
2020-09-22;4,59
2020-09-23;4,59
2020-09-24;4,5
2020-09-25;4,4
2020-09-26;4,5
2020-09-27;4,59
2020-09-28;4,5
2020-09-29;4,2
2020-09-30;4,59
2020-10-01;4,5
2020-10-02;4,4
2020-10-03;4,59
2020-10-04;4,5
2020-10-05;4,5
2020-10-06;4,4
2020-10-07;4,5
2020-10-08;4,7
2020-10-09;4,5
2020-10-10;4,5
2020-10-11;4,5
2020-10-12;4,5
2020-10-13;4,5
2020-10-14;4,4
2020-10-15;4,5
2020-10-16;4,5
2020-10-17;4,5
2020-10-18;3,4
2020-10-19;4,4
2020-10-20;4,5
2020-10-21;4,4
2020-10-22;4,3
2020-10-23;4,4
2020-10-24;4,5
2020-10-25;4,4
2020-10-26;4,2
2020-10-27;4,2
2020-10-28;4,2
2020-10-29;4,2
2020-10-30;4,3
2020-10-31;4,2
2020-11-01;4,3
2020-11-02;4,2
2020-11-03;3,2
2020-11-04;0,6
