TEMPO;CORRENTE
16:35:31.671 ; 0.13
16:35:31.671 ; 3.36
16:35:31.671 ; 3.28
16:35:31.708 ; 3.64
16:35:31.708 ; 3.39
16:35:31.708 ; 3.40
16:35:31.708 ; 3.45
16:35:31.743 ; 3.16
16:35:31.743 ; 3.41
16:35:31.743 ; 2.84
16:35:31.743 ; 3.24
16:35:31.781 ; 2.89
16:35:31.781 ; 3.30
16:35:31.781 ; 3.08
16:35:31.781 ; 3.17
16:35:31.819 ; 3.15
16:35:31.819 ; 3.04
16:35:31.819 ; 3.19
16:35:31.819 ; 2.85
16:35:31.852 ; 3.01
16:35:31.852 ; 2.83
16:35:31.852 ; 3.08
16:35:31.852 ; 2.96
16:35:31.884 ; 3.17
16:35:31.884 ; 3.05
16:35:31.884 ; 3.07
16:35:31.884 ; 3.14
16:35:31.919 ; 2.91
16:35:31.919 ; 3.00
16:35:31.919 ; 2.80
16:35:31.956 ; 3.01
16:35:31.956 ; 2.87
16:35:31.956 ; 3.16
16:35:31.956 ; 3.03
16:35:31.990 ; 3.09
16:35:31.990 ; 3.10
16:35:31.990 ; 3.00
16:35:31.990 ; 3.08
16:35:32.029 ; 2.82
16:35:32.029 ; 2.97
16:35:32.029 ; 2.84
16:35:32.029 ; 3.08
16:35:32.066 ; 2.98
16:35:32.066 ; 3.12
16:35:32.066 ; 3.08
16:35:32.066 ; 3.02
16:35:32.100 ; 3.13
16:35:32.100 ; 2.85
16:35:32.100 ; 2.96
16:35:32.100 ; 2.81
16:35:32.132 ; 3.02
16:35:32.132 ; 2.89
16:35:32.132 ; 3.17
16:35:32.132 ; 3.03
16:35:32.168 ; 3.06
16:35:32.168 ; 3.11
16:35:32.168 ; 2.95
16:35:32.203 ; 3.03
16:35:32.203 ; 2.81
16:35:32.203 ; 2.97
16:35:32.203 ; 2.85
16:35:32.238 ; 3.14
16:35:32.238 ; 3.01
16:35:32.238 ; 3.08
16:35:32.238 ; 3.09
16:35:32.277 ; 3.00
16:35:32.277 ; 3.12
16:35:32.277 ; 2.83
16:35:32.277 ; 2.96
16:35:32.314 ; 2.82
16:35:32.314 ; 3.05
16:35:32.314 ; 2.95
16:35:32.314 ; 3.14
16:35:32.348 ; 3.08
16:35:32.348 ; 3.04
16:35:32.348 ; 3.15
16:35:32.348 ; 2.90
16:35:32.382 ; 2.99
16:35:32.382 ; 2.81
16:35:32.382 ; 3.00
16:35:32.382 ; 2.88
16:35:32.414 ; 3.15
16:35:32.414 ; 3.03
16:35:32.414 ; 3.06
16:35:32.451 ; 3.09
16:35:32.451 ; 2.97
16:35:32.451 ; 3.07
16:35:32.451 ; 2.82
16:35:32.486 ; 2.96
16:35:32.486 ; 2.82
16:35:32.486 ; 3.08
16:35:32.486 ; 2.98
16:35:32.525 ; 3.13
16:35:32.525 ; 3.08
16:35:32.525 ; 3.02
16:35:32.525 ; 3.12
16:35:32.562 ; 2.86
16:35:32.562 ; 2.96
16:35:32.562 ; 2.80
16:35:32.562 ; 3.02
16:35:32.595 ; 2.91
16:35:32.595 ; 3.14
16:35:32.595 ; 3.04
16:35:32.595 ; 3.05
16:35:32.627 ; 3.12
16:35:32.627 ; 2.95
16:35:32.627 ; 3.04
16:35:32.627 ; 2.81
16:35:32.663 ; 2.95
16:35:32.663 ; 2.86
16:35:32.663 ; 3.14
16:35:32.699 ; 3.02
16:35:32.699 ; 3.10
16:35:32.699 ; 3.11
16:35:32.699 ; 2.99
16:35:32.735 ; 3.10
16:35:32.735 ; 2.83
16:35:32.735 ; 2.95
16:35:32.735 ; 2.83
16:35:32.773 ; 3.06
16:35:32.773 ; 2.94
16:35:32.773 ; 3.15
16:35:32.773 ; 3.06
16:35:32.810 ; 3.04
16:35:32.810 ; 3.14
